PlayerID,cluster,cluster_name
119,0,C1: High-intensity Consistent
130,1,C0: Low-intensity Consistent
146,0,C1: High-intensity Consistent
152,0,C1: High-intensity Consistent
155,0,C1: High-intensity Consistent
174,1,C0: Low-intensity Consistent
182,0,C1: High-intensity Consistent
188,1,C0: Low-intensity Consistent
194,1,C0: Low-intensity Consistent
201,1,C0: Low-intensity Consistent
203,0,C1: High-intensity Consistent
220,0,C1: High-intensity Consistent
229,0,C1: High-intensity Consistent
234,1,C0: Low-intensity Consistent
236,0,C1: High-intensity Consistent
244,0,C1: High-intensity Consistent
283,1,C0: Low-intensity Consistent
321,1,C0: Low-intensity Consistent
323,1,C0: Low-intensity Consistent
331,0,C1: High-intensity Consistent
